"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"75",4,0.17156862745098,0.147556956474157,0.199487673294269,0.440692983088701,0.403000708139957,0.478385258037444,"Back","C. albimarginatus"
"76",5,0.134803921568627,0.113295287945693,0.160395878767626,0.400786797834338,0.366022055469694,0.435551540198982,"Back","C. albimarginatus"
"77",6,0.111519607843137,0.0918847754103525,0.135350202228234,0.36559247474121,0.333314961468275,0.397869988014144,"Back","C. albimarginatus"
"78",7,0.0931372549019608,0.0751868634879636,0.11537318952082,0.339097287811111,0.308511896915641,0.369682678706581,"Back","C. albimarginatus"
"79",8,0.0772058823529412,0.0609020698942244,0.0978743133073951,0.320159953571572,0.290508892589022,0.349811014554121,"Back","C. albimarginatus"
"80",9,0.0649509803921569,0.0500639387189542,0.0842648413578609,0.303791382379109,0.27486561852372,0.332717146234499,"Back","C. albimarginatus"
"81",10,0.0600490196078431,0.0457734036806637,0.0787768543720157,0.281259405685348,0.254113605150776,0.30840520621992,"Back","C. albimarginatus"
"82",11,0.0551470588235294,0.0415127143125182,0.0732594374338162,0.26343198774489,0.23761347279064,0.289250502699139,"Back","C. albimarginatus"
"83",12,0.0514705882352941,0.0383389920217665,0.0690999244785343,0.247228728056728,0.222683470094929,0.271773986018527,"Back","C. albimarginatus"
"84",13,0.0465686274509804,0.0341400233605332,0.0635218388624539,0.235909861172132,0.212028577932026,0.259791144412238,"Back","C. albimarginatus"
"85",14,0.0428921568627451,0.0310183025941719,0.0593113409334011,0.224933306676764,0.201782481749628,0.248084131603899,"Back","C. albimarginatus"
"86",15,0.0392156862745098,0.0279233277678646,0.0550747411900749,0.215911896810959,0.193270939035449,0.238552854586468,"Back","C. albimarginatus"
"87",16,0.0355392156862745,0.0248586664716165,0.050808672823929,0.208569907811102,0.186230513380565,0.230909302241639,"Back","C. albimarginatus"
"88",17,0.0330882352941176,0.0228345650874048,0.0479462302298363,0.200504558174105,0.178686770559781,0.222322345788428,"Back","C. albimarginatus"
"89",19,0.0294117647058823,0.0198309958466702,0.0436212033829575,0.185597922348219,0.164853259511454,0.206342585184984,"Back","C. albimarginatus"
"90",22,0.0281862745098039,0.0188394892621487,0.0421702552381938,0.162223642683407,0.143910916301853,0.180536369064962,"Back","C. albimarginatus"
"91",23,0.0269607843137255,0.0178533137236993,0.040714228297368,0.157103126156774,0.139181637304777,0.17502461500877,"Back","C. albimarginatus"
"92",24,0.0245098039215686,0.0158983621643313,0.0377856839631889,0.154528420058755,0.136492707467746,0.172564132649763,"Back","C. albimarginatus"
"93",25,0.0183823529411765,0.0111339997368686,0.0303494617962884,0.159854566154476,0.139799059794793,0.179910072514158,"Back","C. albimarginatus"
"94",29,0.017156862745098,0.0102071541394066,0.0288383946429995,0.140184725012029,0.122277504564336,0.158091945459722,"Back","C. albimarginatus"
"95",35,0.0159313725490196,0.00929095717011603,0.0273178130787235,0.118270428500073,0.102863322738473,0.133677534261674,"Back","C. albimarginatus"
"96",39,0.0147058823529412,0.00838655943364636,0.0257868530581102,0.108192505260926,0.0937920638031094,0.122592946718742,"Back","C. albimarginatus"
"97",40,0.0134803921568627,0.00749533977019752,0.0242445277031141,0.107662977054143,0.0929891087197834,0.122336845388503,"Back","C. albimarginatus"
"98",42,0.0122549019607843,0.00661897454602263,0.0226897113781289,0.104805458618335,0.0901391357260663,0.119471781510603,"Back","C. albimarginatus"
"99",58,0.0110294117647059,0.00575953670152373,0.02112113008035,0.0777101685797912,0.0665082985169522,0.0889120386426301,"Back","C. albimarginatus"
"100",63,0.00980392156862745,0.00491964189965361,0.0195373728584932,0.0734122668775281,0.0624670808066419,0.0843574529484143,"Back","C. albimarginatus"
"101",69,0.00857843137254902,0.00410267253574123,0.0179369628388433,0.0689638290711419,0.0582737932199605,0.0796538649223234,"Back","C. albimarginatus"
"102",72,0.00735294117647059,0.00331313744775453,0.0163185937188569,0.0682313178574452,0.0571590291992589,0.0793036065156314,"Back","C. albimarginatus"
"103",139,0.00612745098039216,0.00255728422729227,0.0146818469047781,0.0366545067807914,0.030367938509044,0.0429410750525388,"Back","C. albimarginatus"
"104",309,0.00490196078431373,0.00184422320231148,0.0130294529972469,0.0172107443166479,0.0140470643009188,0.0203744243323771,"Back","C. albimarginatus"
"105",316,0.00367647058823529,0.00118821183203985,0.0113754430158761,0.0177398799566329,0.0141655011659901,0.0213142587472757,"Back","C. albimarginatus"
"106",336,0.00245098039215686,0.000614027068530861,0.00978345286488862,0.0178906761142981,0.0137710202487339,0.0220103319798623,"Back","C. albimarginatus"
"107",386,0.00122549019607843,0.000172834336797729,0.0086893973067514,0.0173689491061246,0.0122944344479643,0.022443463764285,"Back","C. albimarginatus"
"108",393,0,NA,NA,Inf,NA,NA,"Back","C. albimarginatus"
