"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"76",67,0.0315457413249211,0.0221821773273021,0.0448618627944162,0.0515868161325856,0.0463308541213884,0.0568427781437828,"Leave","C. amblyrhinchos"
"77",70,0.0304942166140904,0.0213099289830943,0.0436368064691711,0.0498602604651274,0.0447407757096889,0.0549797452205658,"Leave","C. amblyrhinchos"
"78",72,0.0294426919032597,0.0204409624323275,0.0424085758867846,0.0489626326718081,0.0438945093849382,0.0540307559586781,"Leave","C. amblyrhinchos"
"79",74,0.0273396424815983,0.0187135529735945,0.0399419635638568,0.0486407773584312,0.0435179430994897,0.0537636116173727,"Leave","C. amblyrhinchos"
"80",88,0.0262881177707676,0.0178554884097355,0.0387032334300614,0.0413481617917862,0.0369526378553662,0.0457436857282063,"Leave","C. amblyrhinchos"
"81",91,0.0252365930599369,0.0170014665791524,0.0374606288409154,0.0404336289252466,0.0360930197264823,0.044774238124011,"Leave","C. amblyrhinchos"
"82",96,0.0241850683491062,0.0161517261102232,0.0362139332390436,0.0387710400689192,0.0345657431051848,0.0429763370326536,"Leave","C. amblyrhinchos"
"83",104,0.0231335436382755,0.0153065307389655,0.0349629089955472,0.0362160731652603,0.0322448800230934,0.0401872663074272,"Leave","C. amblyrhinchos"
"84",109,0.0210304942166141,0.0136309798562901,0.0324468007185078,0.0354291907246917,0.0314509489156112,0.0394074325337723,"Leave","C. amblyrhinchos"
"85",110,0.0199789695057834,0.0128013165277784,0.0311811071655687,0.0355734098488995,0.0315267537013176,0.0396200659964815,"Leave","C. amblyrhinchos"
"86",130,0.0189274447949527,0.0119775954009902,0.0299098570683366,0.0305164792665325,0.0269966706544358,0.0340362878786292,"Leave","C. amblyrhinchos"
"87",142,0.017875920084122,0.0111602838155354,0.0286326516543509,0.0283401459048533,0.0250225883529971,0.0316577034567096,"Leave","C. amblyrhinchos"
"88",143,0.0168243953732913,0.0103499152180431,0.0273490433219552,0.0285659114706686,0.0251683477609335,0.0319634751804037,"Leave","C. amblyrhinchos"
"89",148,0.0157728706624606,0.0095471031096588,0.026058527500663,0.0280369179827242,0.0246446636018746,0.0314291723635737,"Leave","C. amblyrhinchos"
"90",159,0.0147213459516299,0.00875255903302094,0.0247605329835483,0.0265311744209442,0.0232610333673332,0.0298013154745553,"Leave","C. amblyrhinchos"
"91",162,0.0136698212407992,0.0079671161310988,0.023454410564696,0.0264973129943448,0.0231647945555126,0.029829831433177,"Leave","C. amblyrhinchos"
"92",210,0.0126182965299685,0.00719176054998626,0.0221394199948047,0.0208219400607495,0.0181447407105147,0.0234991394109842,"Leave","C. amblyrhinchos"
"93",218,0.0115667718191377,0.00642767414357767,0.0208147157630382,0.020456966925445,0.0177619039166025,0.0231520299342876,"Leave","C. amblyrhinchos"
"94",224,0.010515247108307,0.00567629390237915,0.0194793334612951,0.0203345043283542,0.017582148204996,0.0230868604517124,"Leave","C. amblyrhinchos"
"95",286,0.00946372239747634,0.00493939690802078,0.0181321815768765,0.0162947184797523,0.0140212130482051,0.0185682239112996,"Leave","C. amblyrhinchos"
"96",302,0.00841219768664564,0.00421922569111613,0.0167720513430242,0.0158214321882965,0.0135365608888869,0.0181063034877061,"Leave","C. amblyrhinchos"
"97",312,0.00736067297581493,0.00351868038196749,0.0153976777585572,0.0157423202355451,0.0133767262045902,0.0181079142665001,"Leave","C. amblyrhinchos"
